CMDLINE C:\Users\nishkarsh.gupta\.virtualenvs\Xetra_1234-YabI4gXW\Scripts\python.exe run.py
MEM 2.000000 1777283649.1529
MEM 4.445312 1777283649.2534
MEM 4.445312 1777283649.3540
MEM 4.445312 1777283649.4544
MEM 4.445312 1777283649.5551
MEM 4.445312 1777283649.6554
MEM 4.445312 1777283649.7560
MEM 4.445312 1777283649.8565
MEM 4.445312 1777283649.9569
MEM 4.445312 1777283650.0572
MEM 4.445312 1777283650.1575
MEM 4.445312 1777283650.2579
MEM 4.445312 1777283650.3585
MEM 4.445312 1777283650.4587
MEM 4.445312 1777283650.5593
MEM 4.445312 1777283650.6598
MEM 4.445312 1777283650.7600
MEM 4.445312 1777283650.8606
MEM 4.644531 1777283650.9612
